id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_region,municipality,scheduled_service,gps_code,iata_code,score
42730,IN-0009,heliport,Gangtok Helipad,27.35569763,88.61410522,,IN-SK,,0,,,-4
44362,IN-0012,small_airport,Pakyong Airport (Under Construction),27.2313,88.587196,4590,IN-SK,,0,,,-4
42721,IN-0005,closed,Kayathar Airstrip,8.971388817,77.82062531,,IN-TN,,0,,,-4
42722,IN-0006,closed,Chettinad Airstrip,10.16499615,78.79376984,,IN-TN,,0,,,-4
46287,IN-0020,closed,Ulundurpet Airstrip,11.68854875,79.32137489,,IN-TN,,0,,,-4
46628,IN-0063,closed,Cholavaram Airstrip,13.21024193,80.1523447,,IN-TN,,0,,,-4
300715,IN-0069,small_airport,Sultanpur,26.2475,82.0425,,IN-UP,,1,,,-4
46283,IN-0017,closed,Dudhkundi Airfield,22.32459157,87.10741997,,IN-WB,,0,,,-4
46284,IN-0018,closed,Piardoba Airfield,22.98950855,87.29959488,,IN-WB,,0,,,-4
302122,IN-0078,closed,Bishnupur Airfield,23.03392669,87.35486984,,IN-WB,,0,,,-4
302134,IN-0079,closed,Guskhara Airfield,23.471667,87.794167,,IN-WB,,0,,,-4
302135,IN-0080,closed,Pandaveswar Airfield,23.64130052,87.34869003,,IN-WB,,0,,,-4
46556,IN-0033,small_airport,Aamby Valley Airport,18.60961667,73.37758333,2262,IN-MM,Aamby Valley City,0,,,-4
327453,VIKG,medium_airport,Kishangarh Airport,26.601473,74.814147,,IN-RJ,Ajmer,1,VIKG,KQH,-4
317900,IN-0096,small_airport,Akli Airport,25.8077,70.2943,230,IN-RJ,Akli,0,,,-4
298454,VIAH,small_airport,Dhanipur Airstrip,27.86085631,78.14686775,,IN-UP,Aligarth,0,VIAH,,-4
299082,IN-0065,small_airport,Amravati (Belora) Airstrip,20.81334851,77.71790743,1125,IN-MM,Amravati,0,,,-4
43966,IN-0011,medium_airport,Jakkur Aerodrome,13.07674,77.597645,3013,IN-KA,Bengaluru,0,VOJK,,-4
306915,IN-0083,heliport,Bilaspur Helipad,31.34513889,76.75675,1685,IN-HP,Bilaspur,0,,,-4
46574,IN-0051,heliport,"Aviation Research Centre, RAW Headquarter Helipad",30.70645,77.8615,,IN-UP,Chakrata,0,,,-4
44474,VEDZ,small_airport,Daporijo Airport,27.98550034,94.22280121,750,IN-AR,Daporijo,0,VEDZ,DEP,-4
46610,IN-0058,closed,Dhubulia Airstrip,23.49298469,88.45401764,,IN-WB,Dhubulia,0,,,-4
46611,IN-0059,closed,Digri Airstrip,22.78544033,87.36225128,,IN-WB,Digri,0,,,-4
317984,IN-0100,small_airport,Sido Kanhu Airport,24.231185,87.269989,470,IN-JH,Dumka,0,,,-4
